jvs001,3,0,-0.9,-1.9,-0.9,-0.7,0,0.2,-0.5,-1.2,-0.3,-1,-1.8,0,-1.2,-0.2,-0.1,-1.6,-1.9,-1.2,-0.7,-1.1,-1,-1.3,-1.4,-0.7,-1.4,-0.5,-0.9,-1.7,-1.4,-1.2,-1.1,-1,-0.7,-1.3,-0.7,-0.6,-1.2,-0.8,-0.6,-0.2,-0.5,-0.6,-1.3,-1.1,-1.6,-0.5,-0.5
jvs003,0,3,-1.1,-1.3,-0.9,-1.3,-0.8,-0.7,-0.9,-0.9,-1.6,-1.1,-1.3,-1,-1.7,0.1,-0.2,-1.1,-2.2,-0.8,-1.2,0.3,-1.5,-0.1,-1.1,-1.3,-1.4,-0.6,-2.2,-1.6,-0.4,-1.2,0.2,-0.3,-0.5,-0.6,-0.8,-1.3,-1.4,-1,-0.8,0,-1.7,-1.3,-1.5,-0.7,-1.6,-0.9,-0.7
jvs005,-0.9,-1.1,3,-1.9,-0.8,-2,-0.9,-0.3,-0.2,-1.1,-0.6,-0.5,-1.5,-0.7,-1.7,0.4,-1.7,-1.3,-0.5,-2.1,-1.6,-0.5,-1.6,-1.2,-0.9,-0.2,-1,-1.2,-1.4,-0.2,-0.2,-1.1,-1.1,-1.5,-0.9,-0.9,-0.5,-1.3,-0.7,0.2,-1,0.2,-1.1,-0.3,-1.4,-1.2,0,-0.2,-0.7
jvs006,-1.9,-1.3,-1.9,3,-1.7,-1.5,-0.9,-1.7,-1,0,-1,-1.3,-0.6,-1.5,-1.8,-1.6,-1.1,-1.1,-1.6,-1.6,-1.4,-1.1,-1.2,0.2,-1.3,-1,-1.8,-1.8,-2,-1.1,-1,0.2,-2.1,-1,-1.8,-1.4,-2.2,-0.5,-1,-1.6,-1.2,-1.5,-1.9,-1.3,-1.7,-1.7,-2.2,-1.9,-1.2
jvs009,-0.9,-0.9,-0.8,-1.7,3,-2.2,-0.6,-0.9,-1.5,0.3,-0.1,-0.8,-0.8,-0.6,-1.5,-0.7,0.1,-0.5,-1,-1.3,-2,-1.4,-0.7,-0.8,-0.5,-1.1,-0.5,-0.5,-1,-1.4,-1,0,-0.7,0.5,-1.1,-1.9,-1.2,-1.1,-1,-1.2,-1.3,-0.8,-0.7,-0.3,-1.3,-1.2,-1.4,-0.7,-0.3
jvs011,-0.7,-1.3,-2,-1.5,-2.2,3,-1,-1.8,-2.1,-1.7,-1.8,-1.9,-2.1,-0.8,0.7,-1.4,-1.3,-1.9,-0.2,-2.2,-1.4,-0.6,-2,-1.7,-1,-0.8,-1.9,-1,-0.4,-0.4,-1.2,-2.3,0.6,-2.1,0,-1,-1.7,-1.3,-1.9,-2,-0.6,-1.7,-0.5,-0.9,-0.2,0.1,-1.2,-0.1,-1.9
jvs012,0,-0.8,-0.9,-0.9,-0.6,-1,3,-0.3,-1.6,-1,-0.4,-0.8,-1.3,-0.5,-1,-0.5,-0.8,-0.4,-1.3,-1,-0.4,-0.4,-1.6,-1.4,-1.3,-0.3,-1.2,-0.5,-0.6,1.2,-0.4,0,-0.5,-0.3,-0.9,-1,-1.2,0.2,-1.1,-0.2,-0.2,0.5,-0.4,-0.5,-0.6,-1.1,-1.8,-0.5,-1
jvs013,0.2,-0.7,-0.3,-1.7,-0.9,-1.8,-0.3,3,-0.5,-0.9,-0.5,0,-1.6,-0.9,-1.5,-0.3,-1.6,-2,-1.3,-1.6,-1,1,-1.3,-1.2,-1,-1.3,-1.1,-0.4,0,-1.9,-0.2,-1.2,-1,-0.6,0.1,-0.9,-1.1,-1.4,-0.9,-0.4,-0.9,0,-0.6,-0.4,-0.4,-0.8,-1.1,-1,-0.4
jvs020,-0.5,-0.9,-0.2,-1,-1.5,-2.1,-1.6,-0.5,3,-0.6,-1,-1.1,-1.2,-1.4,-1.1,-0.3,-0.7,-1.1,-1.4,-1.6,-1.1,-1.2,-0.7,-1.3,-1.4,-1,-0.6,-1.4,-1.6,-1.4,-1,-1.6,-0.6,-0.8,-1.1,-0.9,-0.9,-1.2,-0.7,-1.1,-0.2,-0.8,-1.4,-1.4,-0.1,-1.5,-0.8,-1,-0.7
jvs021,-1.2,-0.9,-1.1,0,0.3,-1.7,-1,-0.9,-0.6,3,-1.2,-1.3,-0.8,-0.3,-1.2,-0.9,-1,-0.9,-1.9,-0.3,-1.7,-1.4,-0.6,-1.1,-0.9,-1.3,-0.2,-1.2,-1.5,-1.3,-0.3,-0.9,-0.8,-0.9,-1.4,-1.2,-2.3,-0.4,-1.5,-0.9,-0.9,-0.8,-1,-0.8,-1.1,-1,-2.1,-1.1,-0.2
